ID;schedulingGroupType;description
8a8ce382-af5b-431f-a0bd-9e2374dbe111;MAIN;Main Scheduling Group
2ec15762-b75f-48d3-b63c-c2657f8e7cda;SUB;Sub Scheduling Group
